LOGISTIC_ACC_ALL,LOGISTIC_CONF_ALL,LOGISTIC_F1_ALL,MAJ_ACC_,MAJ_CONF_,MAJ_F1_,TREE_G_ACC_ALL,TREE_G_CONF_ALL,TREE_G_F1_ALL,WINDOW,XGB_ACC_ALL,XGB_CONF_ALL,XGB_F1_ALL
0.6912422839506173,"[[    0     0  4925     0   505]
 [    0     0    72     0     0]
 [    0     0 34764     0  1723]
 [    0     0  4027     0  1022]
 [    0     0  3732     0  1070]]",0.6042598892401455,0.7038387345679012,"[[    0     0  5430     0     0]
 [    0     0    72     0     0]
 [    0     0 36487     0     0]
 [    0     0  5049     0     0]
 [    0     0  4802     0     0]]",0.5814974788723496,0.6695987654320987,"[[    0     0  4630     0   800]
 [    0     0     0     0    72]
 [    0     0 34234     0  2253]
 [    0     0  4332     0   717]
 [    0     0  4324     0   478]]",0.5833556900914547,180000,0.7888657407407408,"[[33302  1705  5880   153]
 [    0     0     0     0]
 [    0  1370   777    13]
 [    0     0     0     0]]",0.8599303281582067
0.6573010510510511,"[[    0     0  4347   354   141]
 [    0     0   211     0     0]
 [    0     0 34016  1223   733]
 [    0     0  3576   927   488]
 [    0     0  5370  1816    78]]",0.5712303399809813,0.6751501501501501,"[[    0     0  4842     0     0]
 [    0     0   211     0     0]
 [    0     0 35972     0     0]
 [    0     0  4991     0     0]
 [    0     0  7264     0     0]]",0.5442231255591181,0.6353791291291291,"[[    0     0  4328    91   423]
 [    0     0   123    65    23]
 [    0     0 32091  1872  2009]
 [    0     0  2762   343  1886]
 [    0     0  5336   509  1419]]",0.5754165744268573,120000,0.7585125448028673,"[[33668  3277  7373   322]
 [    0     0     0     0]
 [    0     0     0     0]
 [    0     0     0     0]]",0.8598866016243552
0.6258703703703704,"[[    0     0  4822     0     0]
 [    0     0   261    61   212]
 [    0     0 32951   300  1028]
 [    0     0  6289   427   741]
 [    0     0  6077   412   419]]",0.5191742851276601,0.6347962962962963,"[[    0     0  4822     0     0]
 [    0     0   534     0     0]
 [    0     0 34279     0     0]
 [    0     0  7457     0     0]
 [    0     0  6908     0     0]]",0.49298660475856637,0.5695370370370371,"[[    0     0  3306   709   807]
 [    0     0   134     0   400]
 [    0     0 24684  2167  7428]
 [    0     0  1743  3010  2704]
 [    0     0  1333  2514  3061]]",0.567785997417045,100000,0.7251096491228071,"[[32056  3828  7188   128]
 [    0     0     0     0]
 [  714   654  1009    23]
 [    0     0     0     0]]",0.8095183433738694
0.707328869047619,"[[    0     0  1850     0   303]
 [    0     0    82     0   218]
 [    0     0 35840   868  5139]
 [    0     0  2996   960  1754]
 [    0     0  2432    92  1226]]",0.6965924864933286,0.7784040178571429,"[[    0     0  2153     0     0]
 [    0     0   300     0     0]
 [    0     0 41847     0     0]
 [    0     0  5710     0     0]
 [    0     0  3750     0     0]]",0.6814118827129364,0.6421875,"[[    0     0  1772    91   290]
 [    0     0    96    16   188]
 [    0     0 33119  2344  6384]
 [    0     0  4671   333   706]
 [    0     0  1622  1056  1072]]",0.6397324526435535,80000,0.7547554347826086,"[[29660  3812  5458   430]
 [    0   555   405     0]
 [  650   784  2396    10]
 [    0     0     0     0]]",0.7972836072091601
0.689662447257384,"[[    0     0  3792   141    94]
 [    0     0   262    36    23]
 [    0     0 36275   547   608]
 [    0     0  4859  1686   168]
 [    0     0  6652   470  1267]]",0.6117137448084006,0.6580520393811533,"[[    0     0  4027     0     0]
 [    0     0   321     0     0]
 [    0     0 37430     0     0]
 [    0     0  6713     0     0]
 [    0     0  8389     0     0]]",0.5223388364762288,0.6516526019690576,"[[    0     0  2498   700   829]
 [    0     0   212    59    50]
 [    0     0 31755  4385  1290]
 [    0     0  2743  3565   405]
 [    0     0  3832  2811  1746]]",0.6192728679819425,60000,0.7262626262626263,"[[31523  2484  6719   314]
 [ 1294  1352  1642    32]
 [  284   216  1637    23]
 [    0     0     0     0]]",0.7759978120445793
0.6699826388888889,"[[    0     0  3327   102     0]
 [    0     0   146    93   127]
 [    0     0 36697  1110   194]
 [    0     0  5074  1818   203]
 [    0     0  6956  1677    76]]",0.5769323357529487,0.6597395833333334,"[[    0     0  3429     0     0]
 [    0     0   366     0     0]
 [    0     0 38001     0     0]
 [    0     0  7095     0     0]
 [    0     0  8709     0     0]]",0.5244874824792628,0.6688888888888889,"[[    0     0  2359   787   283]
 [    0     0   228    10   128]
 [    0     0 34527  2375  1099]
 [    0     0  4382  2012   701]
 [    0     0  3504  3216  1989]]",0.6274622135961848,50000,0.769125,"[[34255  2665  4457    23]
 [  996   118   686     0]
 [  780  1398  2545    77]
 [    0     0     0     0]]",0.8053682457996043
0.7158902691511387,"[[    0     0  2610   220   171]
 [    0     0   274     0    53]
 [    0     0 39345  1551   360]
 [    0     0  3316   527   675]
 [    0     0  7015   222  1621]]",0.6509219492915037,0.7118012422360248,"[[    0     0  3001     0     0]
 [    0     0   327     0     0]
 [    0     0 41256     0     0]
 [    0     0  4518     0     0]
 [    0     0  8858     0     0]]",0.5919624264168972,0.6387853692201518,"[[    0     0  2270   103   628]
 [    0     0   241    46    40]
 [    0     0 33434  4372  3450]
 [    0     0  3022   642   854]
 [    0     0  4233  1677  2948]]",0.6260866652601701,30000,0.756985903814262,"[[32469  2203  4202     6]
 [ 1007  1334   899     0]
 [ 1704  1463  2714   239]
 [    0     0     0     0]]",0.7778623996066949
0.7267489711934156,"[[    0     0   977    42   159]
 [    0     0    16    13   158]
 [    0   240 39473   432  1109]
 [    0     0  5209  1030   533]
 [    0     0  6645   403  1881]]",0.669419920660319,0.7073731138545953,"[[    0     0  1178     0     0]
 [    0     0   187     0     0]
 [    0     0 41254     0     0]
 [    0     0  6772     0     0]
 [    0     0  8929     0     0]]",0.5861363496285672,0.6961934156378601,"[[    0     0   725    71   382]
 [    0     0    63     0   124]
 [    0     0 35169  2371  3714]
 [    0     0  2991  1557  2224]
 [    0     0  3772  1281  3876]]",0.6841681346704244,20000,0.7703589108910891,"[[    0     0     0     0]
 [   93 33329  3583  3795]
 [  118   974   996   552]
 [   42  1153  1372  2473]]",0.7916391736199155
0.74446735395189,"[[    0    46   637     4   134]
 [    0    74    85     0   410]
 [    0   120 38922   166  1720]
 [    0     0  5169   765  1249]
 [    0     0  4987   145  3567]]",0.6955850811164126,0.7032302405498282,"[[    0     0   821     0     0]
 [    0     0   569     0     0]
 [    0     0 40928     0     0]
 [    0     0  7183     0     0]
 [    0     0  8699     0     0]]",0.5806998483823615,0.6804810996563574,"[[    0    28   432   194   167]
 [    0    92   169   101   207]
 [    0   120 32603  4009  4196]
 [    0     0  2446  3188  1549]
 [    0     0  2990  1988  3721]]",0.6857464465214816,10000,0.7923886138613861,"[[    0    59     0    61]
 [   48 33063  3865  2144]
 [   21   515  1427  1037]
 [   81  1346   888  3925]]",0.8146684146826401
0.7397422680412371,"[[    0     0   323     0   133]
 [    0     0   104     0   461]
 [    0     0 39583   120  1324]
 [    0     0  6111   630   942]
 [    0     0  5419   210  2840]]",0.6804561516598506,0.7049312714776632,"[[    0     0   456     0     0]
 [    0     0   565     0     0]
 [    0     0 41027     0     0]
 [    0     0  7683     0     0]
 [    0     0  8469     0     0]]",0.5829303571591218,0.7226460481099657,"[[    0     0   259    50   147]
 [    0     6   224   164   171]
 [    0   240 35296  2635  2856]
 [    0     0  2991  2811  1881]
 [    0   114  3290  1120  3945]]",0.7160840831618106,5000,0.7979192418623815,"[[   35    60     0    25]
 [  103 32499  3041  2637]
 [   38   743  2222  1137]
 [  130  1043  1042  3785]]",0.8113857725513363
0.7327840714040508,"[[    0     0   109     0    11]
 [    0    28   105     0   353]
 [    0     8 39983   104   776]
 [    0     0  6593   353   492]
 [    0     0  6634   383  2328]]",0.6628388785265871,0.701527634740817,"[[    0     0   120     0     0]
 [    0     0   486     0     0]
 [    0     0 40871     0     0]
 [    0     0  7438     0     0]
 [    0     0  9345     0     0]]",0.5784696201892835,0.7336766220391349,"[[    0     8    60    17    35]
 [    0   141   105    24   216]
 [    0   148 35051  2808  2864]
 [    0    72  2659  3277  1430]
 [    0   123  3213  1734  4275]]",0.7326379938373199,1000,0.8096473883671116,"[[  195    23    16    30]
 [  104 32375  1885  2764]
 [   50   817  2788   941]
 [  171  1371  1070  3952]]",0.8191083888391295
